target_timestamp,extracted_timestamp,frame_index,confidence,time_diff_seconds,ocr_text
2025/08/26 16:05:00,2025/08/26 16:04:56,4,0.8298,4.00,2025/08/2616:04:56
2025/08/26 16:10:00,2025/08/26 16:09:55,34,0.8298,5.00,2025/08/2616:09:55
2025/08/26 16:15:00,2025/08/26 16:14:55,64,0.8298,5.00,2025/08/2616:14:55
2025/08/26 16:20:00,2025/08/26 16:20:04,95,0.8298,4.00,2025/08/2616:20:04
