timestamp,zone_1,zone_2,zone_3,unclassified
2025/08/26 16:04:56,3,12,0,7
2025/08/26 16:09:55,4,10,0,7
2025/08/26 16:14:55,6,7,1,7
2025/08/26 16:20:04,8,7,1,5
